date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration
2024-12-01,34.1,23.8,0.0,12.3,4.86
2024-12-02,33.7,23.5,0.0,12.3,4.55
2024-12-03,33.7,24.7,0.0,12.3,4.13
2024-12-04,32.2,25.5,1.6,17.0,3.75
2024-12-05,31.2,25.3,4.3,11.2,3.69
2024-12-06,31.0,25.2,0.7,11.6,3.86
2024-12-07,32.8,24.4,0.0,11.9,4.3
2024-12-08,33.7,24.9,0.0,10.7,4.6
2024-12-09,32.8,24.5,0.0,10.1,4.01
2024-12-10,33.8,23.6,0.0,14.5,4.44
2024-12-11,33.0,25.4,0.0,14.4,3.82
2024-12-12,32.1,25.7,0.8,12.0,4.01
2024-12-13,31.6,25.1,2.0,12.3,3.84
2024-12-14,32.4,24.5,0.0,13.0,4.17
2024-12-15,33.3,24.6,0.0,12.3,4.05
2024-12-16,33.5,25.0,0.0,12.2,4.28
2024-12-17,34.0,25.2,0.0,13.1,4.39
2024-12-18,33.5,24.1,0.0,12.3,4.43
2024-12-19,33.8,24.5,0.0,12.1,5.04
2024-12-20,34.0,23.8,0.0,11.6,5.22
2024-12-21,33.7,23.2,0.0,10.7,4.48
2024-12-22,33.5,22.5,0.0,8.7,4.88
2024-12-23,33.5,22.5,0.0,13.0,4.44
2024-12-24,32.7,23.9,0.0,11.9,4.03
2024-12-25,34.0,24.4,0.0,14.3,4.2
2024-12-26,34.3,25.1,0.0,14.4,4.23
2024-12-27,33.4,24.8,0.0,13.3,4.03
2024-12-28,33.8,24.7,0.0,13.5,3.8
2024-12-29,33.8,24.6,0.0,13.4,4.16
2024-12-30,33.7,25.2,0.0,12.8,4.18
2024-12-31,32.8,25.5,0.0,13.5,3.96
2025-01-01,33.0,25.5,0.0,13.6,3.99
2025-01-02,32.8,25.2,0.0,13.8,4.11
2025-01-03,32.5,25.9,0.2,13.6,3.95
2025-01-04,32.7,26.3,1.4,12.9,3.81
2025-01-05,32.9,26.2,0.3,15.5,3.88
2025-01-06,32.7,26.2,1.6,13.5,3.71
2025-01-07,32.2,26.4,0.5,12.3,3.62
2025-01-08,32.5,25.9,1.1,12.3,3.82
2025-01-09,32.7,25.8,0.1,13.1,3.99
2025-01-10,34.1,25.3,0.2,12.8,4.07
2025-01-11,33.5,24.4,0.0,10.8,5.09
2025-01-12,34.4,22.4,0.0,11.7,4.64
2025-01-13,32.7,23.4,0.0,14.6,4.32
2025-01-14,32.3,24.5,0.0,12.5,4.11
2025-01-15,33.2,25.4,0.0,13.1,4.03
2025-01-16,34.1,25.8,0.0,12.4,3.99
2025-01-17,34.8,26.8,0.0,16.8,4.14
2025-01-18,30.0,26.8,1.0,21.4,3.14
2025-01-19,30.8,26.6,0.2,16.7,3.96
2025-01-20,31.5,24.5,1.0,13.7,4.06
2025-01-21,32.2,25.5,0.0,13.5,3.94
2025-01-22,32.7,26.5,0.6,15.0,3.79
2025-01-23,30.3,25.0,3.8,14.4,3.63
2025-01-24,32.1,25.5,0.9,11.3,3.85
2025-01-25,31.8,25.9,1.2,12.6,3.88
2025-01-26,30.3,26.0,1.4,12.9,3.31
2025-01-27,31.5,24.9,2.0,15.3,3.8
2025-01-28,32.3,25.5,0.9,13.5,3.92
2025-01-29,30.5,25.6,1.7,10.9,3.56
2025-01-30,31.5,25.4,0.8,11.0,3.82
2025-01-31,32.1,25.7,2.9,12.2,3.88
2025-02-01,31.9,26.0,0.2,13.8,3.97
2025-02-02,31.6,25.8,2.5,10.8,4.08
2025-02-03,32.5,25.8,0.2,11.5,4.2
2025-02-04,33.8,26.8,0.0,15.5,4.16
2025-02-05,32.0,26.7,0.7,14.5,4.07
2025-02-06,32.1,26.6,1.0,14.3,4.31
2025-02-07,32.7,27.2,1.1,14.4,4.21
2025-02-08,30.2,26.7,4.4,12.2,2.92
2025-02-09,31.6,25.8,0.5,12.5,4.07
2025-02-10,32.2,26.8,2.8,13.4,3.93
2025-02-11,32.5,26.9,1.4,14.5,3.69
2025-02-12,31.0,26.1,1.8,11.6,3.69
2025-02-13,32.3,26.4,3.9,12.1,3.98
2025-02-14,32.2,26.1,0.8,13.4,4.01
2025-02-15,32.0,26.4,1.4,12.3,4.21
2025-02-16,33.5,26.5,0.3,14.6,4.15
2025-02-17,33.5,26.6,0.4,13.6,4.25
2025-02-18,32.2,27.1,0.0,12.9,4.06
